,w1,w2,w3,w4,w5,sim
407,Paris,France,Canberra,Australia,Australia,0.7059869170188904
408,Paris,France,Hanoi,Vietnam,Viet_Nam,0.7121440172195435
409,Paris,France,Havana,Cuba,Cuba,0.7165151834487915
410,Paris,France,Helsinki,Finland,Finland,0.7654452323913574
411,Paris,France,Islamabad,Pakistan,Pakistan,0.7565770745277405
412,Paris,France,Kabul,Afghanistan,Afghan,0.6692334413528442
413,Paris,France,London,England,Britain,0.7368935346603394
414,Paris,France,Madrid,Spain,Spain,0.7776164412498474
415,Paris,France,Moscow,Russia,Russia,0.834155797958374
416,Paris,France,Oslo,Norway,Norway,0.7406579852104187
417,Paris,France,Ottawa,Canada,Canada,0.6765266060829163
418,Rome,Italy,Stockholm,Sweden,Sweden,0.7650185823440552
419,Rome,Italy,Tehran,Iran,Iran,0.7223957180976868
420,Rome,Italy,Tokyo,Japan,Japan,0.7659537196159363
421,Rome,Italy,Athens,Greece,Greece,0.6582207679748535
422,Rome,Italy,Baghdad,Iraq,Iraqi,0.6279987096786499
423,Rome,Italy,Bangkok,Thailand,Thailand,0.736771285533905
424,Rome,Italy,Beijing,China,China,0.7384491562843323
425,Rome,Italy,Berlin,Germany,Germany,0.7924450039863586
426,Rome,Italy,Bern,Switzerland,Switzerland,0.5860611796379089
427,Rome,Italy,Cairo,Egypt,Egypt,0.6917356848716736
428,Rome,Italy,Canberra,Australia,Australia,0.7035335302352905
429,Rome,Italy,Hanoi,Vietnam,Viet_Nam,0.6718668937683105
430,Rome,Italy,Havana,Cuba,Cuba,0.6652558445930481
431,Rome,Italy,Helsinki,Finland,Finland,0.7448440194129944
432,Rome,Italy,Islamabad,Pakistan,Pakistan,0.7375874519348145
433,Rome,Italy,Kabul,Afghanistan,Afghan,0.6492578983306885
434,Rome,Italy,London,England,UK,0.6230568885803223
435,Rome,Italy,Madrid,Spain,Spain,0.7485760450363159
436,Rome,Italy,Moscow,Russia,Russia,0.7561044692993164
437,Rome,Italy,Oslo,Norway,Norway,0.7140565514564514
438,Rome,Italy,Ottawa,Canada,Canada,0.6508230566978455
439,Rome,Italy,Paris,France,France,0.7486129403114319
440,Stockholm,Sweden,Tehran,Iran,Iran,0.7674084901809692
441,Stockholm,Sweden,Tokyo,Japan,Japan,0.8198505640029907
442,Stockholm,Sweden,Athens,Greece,Greece,0.6445162892341614
443,Stockholm,Sweden,Baghdad,Iraq,Mosul,0.674405574798584
444,Stockholm,Sweden,Bangkok,Thailand,Thailand,0.7606315612792969
445,Stockholm,Sweden,Beijing,China,China,0.7469374537467957
446,Stockholm,Sweden,Berlin,Germany,Germany,0.7917512655258179
447,Stockholm,Sweden,Bern,Switzerland,Switzerland,0.5347193479537964
448,Stockholm,Sweden,Cairo,Egypt,Egypt,0.7208700180053711
449,Stockholm,Sweden,Canberra,Australia,Australia,0.6957679986953735
450,Stockholm,Sweden,Hanoi,Vietnam,Viet_Nam,0.6892715096473694
451,Stockholm,Sweden,Havana,Cuba,Cuba,0.730288028717041
452,Stockholm,Sweden,Helsinki,Finland,Finland,0.8304910063743591
453,Stockholm,Sweden,Islamabad,Pakistan,Pakistan,0.7434418797492981
454,Stockholm,Sweden,Kabul,Afghanistan,Afghan,0.6353626847267151
455,Stockholm,Sweden,London,England,Britain,0.6828158497810364
456,Stockholm,Sweden,Madrid,Spain,Spain,0.7796702980995178
457,Stockholm,Sweden,Moscow,Russia,Russia,0.821164071559906
458,Stockholm,Sweden,Oslo,Norway,Norway,0.7942281365394592
459,Stockholm,Sweden,Ottawa,Canada,Canada,0.6786275506019592
460,Stockholm,Sweden,Paris,France,France,0.7826051712036133
461,Stockholm,Sweden,Rome,Italy,Italy,0.7247942090034485
462,Tehran,Iran,Tokyo,Japan,Japan,0.7860097885131836
463,Tehran,Iran,Athens,Greece,Greece,0.6574969291687012
464,Tehran,Iran,Baghdad,Iraq,Iraq,0.775810718536377
465,Tehran,Iran,Bangkok,Thailand,Thailand,0.8036009073257446
466,Tehran,Iran,Beijing,China,China,0.8198246955871582
467,Tehran,Iran,Berlin,Germany,Germany,0.6948080658912659
468,Tehran,Iran,Bern,Switzerland,coach_Bobby_Curlings,0.5130249857902527
469,Tehran,Iran,Cairo,Egypt,Egypt,0.8029149174690247
470,Tehran,Iran,Canberra,Australia,Australia,0.7018478512763977
471,Tehran,Iran,Hanoi,Vietnam,Viet_Nam,0.7534171938896179
472,Tehran,Iran,Havana,Cuba,Cuba,0.8335038423538208
473,Tehran,Iran,Helsinki,Finland,Finland,0.6951574683189392
474,Tehran,Iran,Islamabad,Pakistan,Pakistan,0.8478929996490479
475,Tehran,Iran,Kabul,Afghanistan,Afghan,0.7277182936668396
476,Tehran,Iran,London,England,Britain,0.6258982419967651
477,Tehran,Iran,Madrid,Spain,Spain,0.7075908184051514
478,Tehran,Iran,Moscow,Russia,Russia,0.8626426458358765
479,Tehran,Iran,Oslo,Norway,Norway,0.7017198204994202
480,Tehran,Iran,Ottawa,Canada,Canada,0.6508046388626099
481,Tehran,Iran,Paris,France,France,0.680817186832428
482,Tehran,Iran,Rome,Italy,Italy,0.6060930490493774
483,Tehran,Iran,Stockholm,Sweden,Sweden,0.7119142413139343
484,Tokyo,Japan,Athens,Greece,Greece,0.6701824069023132
485,Tokyo,Japan,Baghdad,Iraq,Iraq,0.700536847114563
486,Tokyo,Japan,Bangkok,Thailand,Thailand,0.8329715132713318
487,Tokyo,Japan,Beijing,China,China,0.8427805304527283
488,Tokyo,Japan,Berlin,Germany,Germany,0.7607141733169556
489,Tokyo,Japan,Bern,Switzerland,Switzerland,0.48349660634994507
490,Tokyo,Japan,Cairo,Egypt,Egypt,0.7604711651802063
491,Tokyo,Japan,Canberra,Australia,Australia,0.7408984303474426
492,Tokyo,Japan,Hanoi,Vietnam,Viet_Nam,0.7667807936668396
493,Tokyo,Japan,Havana,Cuba,Cuba,0.766819417476654
494,Tokyo,Japan,Helsinki,Finland,Finland,0.7938802242279053
495,Tokyo,Japan,Islamabad,Pakistan,Pakistan,0.7943655252456665
496,Tokyo,Japan,Kabul,Afghanistan,Afghanistan,0.6684215068817139
497,Tokyo,Japan,London,England,Britain,0.7236440181732178
498,Tokyo,Japan,Madrid,Spain,Spain,0.7904621958732605
499,Tokyo,Japan,Moscow,Russia,Russia,0.8863135576248169
500,Tokyo,Japan,Oslo,Norway,Norway,0.7558910250663757
501,Tokyo,Japan,Ottawa,Canada,Canada,0.7142959237098694
502,Tokyo,Japan,Paris,France,France,0.7889978885650635
503,Tokyo,Japan,Rome,Italy,Italy,0.6944941878318787
504,Tokyo,Japan,Stockholm,Sweden,Sweden,0.8109343647956848
505,Tokyo,Japan,Tehran,Iran,Iran,0.8259533047676086
